Transaction ID,Customer ID,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,Category_encoded,Item_encoded,Day,Week,Month,Year,Day of Month,Profit,First_Purchase_Date,Customer_Type
TXN_1598860,CUST_08,Food,Item_14_FOOD,24.5,10,245.0,Cash,In-Store,2022-10-23,1,4,22,Sunday,42,October,2022,23,244.0,2022-01-03,Returning
TXN_7138501,CUST_18,Patisserie,Item_22_PAT,36.5,5,182.5,Credit Card,In-Store,2022-03-10,0,0,23,Thursday,10,March,2022,10,182.5,2022-01-02,Returning
TXN_5444504,CUST_05,Food,Item_11_FOOD,20.0,10,200.0,Digital Wallet,Online,2022-04-26,0,4,24,Tuesday,17,April,2022,26,200.0,2022-01-03,Returning
TXN_4353295,CUST_22,Patisserie,Item_6_PAT,12.5,8,100.0,Credit Card,Online,2022-04-05,1,0,25,Tuesday,14,April,2022,5,99.0,2022-01-01,Returning
TXN_1543244,CUST_20,Food,Item_14_FOOD,23.0,8,184.0,Credit Card,Online,2024-10-25,1,4,22,Friday,43,October,2024,25,183.0,2022-01-03,Returning
TXN_1494700,CUST_12,Electric Household Essentials,Item_21_EHE,35.0,9,315.0,Credit Card,In-Store,2024-03-07,1,6,26,Thursday,10,March,2024,7,314.0,2022-01-01,Returning
TXN_1621497,CUST_06,Patisserie,Item_12_PAT,23.0,3,69.0,Cash,In-Store,2023-02-18,1,0,5,Saturday,7,February,2023,18,68.0,2022-01-01,Returning
TXN_6398436,CUST_15,Beverages,Item_25_BEV,41.0,7,287.0,Credit Card,In-Store,2024-06-03,1,3,27,Monday,23,June,2024,3,286.0,2022-01-01,Returning
TXN_9065245,CUST_02,Food,Item_23_FOOD,38.0,2,76.0,Digital Wallet,In-Store,2024-03-10,0,4,28,Sunday,10,March,2024,10,76.0,2022-01-17,Returning
TXN_6963438,CUST_11,Furniture,Item_10_FUR,18.5,5,92.5,Credit Card,Online,2024-04-23,1,5,29,Tuesday,17,April,2024,23,91.5,2022-01-01,Returning
TXN_8312797,CUST_14,Beverages,Item_11_BEV,20.0,5,100.0,Digital Wallet,Online,2022-06-03,1,3,30,Friday,22,June,2022,3,99.0,2022-01-07,Returning
TXN_5836005,CUST_19,Butchers,Item_23_BUT,38.0,5,190.0,Credit Card,In-Store,2024-10-19,0,2,31,Saturday,42,October,2024,19,190.0,2022-01-01,Returning
TXN_4223250,CUST_16,Beverages,Item_22_BEV,36.5,7,255.5,Cash,Online,2023-05-31,1,3,32,Wednesday,22,May,2023,31,254.5,2022-01-01,Returning
TXN_1019817,CUST_16,Electric Household Essentials,Item_10_EHE,18.5,5,92.5,Cash,Online,2022-08-01,1,6,33,Monday,31,August,2022,1,91.5,2022-01-01,Returning
TXN_1110407,CUST_25,Butchers,Item_24_BUT,39.5,7,276.5,Digital Wallet,In-Store,2022-10-21,1,2,34,Friday,42,October,2022,21,275.5,2022-01-03,Returning
TXN_6276518,CUST_24,Beverages,Item_8_BEV,15.5,3,46.5,Cash,In-Store,2024-04-08,1,3,35,Monday,15,April,2024,8,45.5,2022-01-01,Returning
TXN_4740738,CUST_25,Food,Item_3_FOOD,8.0,1,8.0,Digital Wallet,In-Store,2022-04-19,1,4,36,Tuesday,16,April,2022,19,7.0,2022-01-03,Returning
TXN_9587232,CUST_20,Food,Item_12_FOOD,21.5,5,107.5,Digital Wallet,Online,2023-02-28,1,4,37,Tuesday,9,February,2023,28,106.5,2022-01-03,Returning
TXN_6404316,CUST_04,Computers And Electric Accessories,Item_16_CEA,27.5,6,165.0,Credit Card,Online,2022-04-06,0,7,38,Wednesday,14,April,2022,6,165.0,2022-01-02,Returning
TXN_9331642,CUST_12,Patisserie,Item_11_PAT,20.0,4,80.0,Credit Card,Online,2022-07-06,1,0,39,Wednesday,27,July,2022,6,79.0,2022-01-01,Returning
TXN_9729422,CUST_13,Butchers,Item_16_BUT,27.5,6,165.0,Credit Card,Online,2024-12-31,1,2,40,Tuesday,1,December,2024,31,164.0,2022-01-04,Returning
TXN_8425168,CUST_25,Milk Products,Item_16_MILK,27.5,7,192.5,Cash,In-Store,2022-03-12,1,1,11,Saturday,10,March,2022,12,191.5,2022-01-03,Returning
TXN_5379241,CUST_05,Butchers,Item_20_BUT,33.5,10,335.0,Credit Card,In-Store,2023-04-12,0,2,21,Wednesday,15,April,2023,12,335.0,2022-01-03,Returning
TXN_8413369,CUST_23,Computers And Electric Accessories,Item_5_CEA,11.0,6,66.0,Credit Card,Online,2024-03-09,1,7,41,Saturday,10,March,2024,9,65.0,2022-01-02,Returning
TXN_4836321,CUST_21,Food,Item_12_FOOD,21.5,10,215.0,Digital Wallet,In-Store,2023-01-14,0,4,37,Saturday,2,January,2023,14,215.0,2022-01-05,Returning
TXN_9451794,CUST_24,Milk Products,Item_19_MILK,32.0,3,96.0,Credit Card,Online,2024-01-28,1,1,42,Sunday,4,January,2024,28,95.0,2022-01-01,Returning
TXN_8218431,CUST_01,Furniture,Item_23_FUR,38.0,5,190.0,Digital Wallet,Online,2023-04-29,0,5,43,Saturday,17,April,2023,29,190.0,2022-01-01,Returning
TXN_2383377,CUST_15,Furniture,Item_7_FUR,14.0,3,42.0,Digital Wallet,In-Store,2023-04-02,1,5,44,Sunday,13,April,2023,2,41.0,2022-01-01,Returning
TXN_7909783,CUST_12,Computers And Electric Accessories,Item_5_CEA,11.0,1,11.0,Credit Card,Online,2023-12-17,1,7,41,Sunday,50,December,2023,17,10.0,2022-01-01,Returning
TXN_5046007,CUST_07,Computers And Electric Accessories,Item_15_CEA,26.0,9,234.0,Cash,Online,2024-07-22,1,7,45,Monday,30,July,2024,22,233.0,2022-01-04,Returning
TXN_6966182,CUST_02,Furniture,Item_16_FUR,27.5,9,247.5,Cash,Online,2024-09-06,1,5,8,Friday,36,September,2024,6,246.5,2022-01-17,Returning
TXN_3424571,CUST_09,Milk Products,Item_6_MILK,12.5,7,87.5,Credit Card,Online,2023-01-13,0,1,46,Friday,2,January,2023,13,87.5,2022-01-03,Returning
TXN_6820452,CUST_10,Computers And Electric Accessories,Item_24_CEA,39.5,8,316.0,Credit Card,In-Store,2023-04-18,0,7,47,Tuesday,16,April,2023,18,316.0,2022-01-02,Returning
TXN_1998771,CUST_25,Milk Products,Item_16_MILK,27.5,3,82.5,Digital Wallet,Online,2024-11-07,1,1,11,Thursday,45,November,2024,7,81.5,2022-01-03,Returning
TXN_1132097,CUST_24,Patisserie,Item_11_PAT,20.0,9,180.0,Credit Card,In-Store,2023-05-18,1,0,39,Thursday,20,May,2023,18,179.0,2022-01-01,Returning
TXN_5418871,CUST_04,Computers And Electric Accessories,Item_22_CEA,36.5,7,255.5,Cash,In-Store,2022-03-16,0,7,48,Wednesday,11,March,2022,16,255.5,2022-01-02,Returning
TXN_6952276,CUST_01,Food,Item_22_FOOD,36.5,10,365.0,Credit Card,Online,2024-08-02,1,4,49,Friday,31,August,2024,2,364.0,2022-01-01,Returning
TXN_6340470,CUST_17,Butchers,Item_2_BUT,6.5,6,39.0,Credit Card,In-Store,2022-10-12,1,2,50,Wednesday,41,October,2022,12,38.0,2022-01-01,Returning
TXN_5885894,CUST_01,Patisserie,Item_14_PAT,24.5,10,245.0,Credit Card,In-Store,2022-02-09,0,0,51,Wednesday,6,February,2022,9,245.0,2022-01-01,Returning
TXN_3671271,CUST_18,Patisserie,Item_12_PAT,21.5,8,172.0,Cash,In-Store,2023-11-27,0,0,5,Monday,48,November,2023,27,172.0,2022-01-02,Returning
TXN_2719047,CUST_03,Butchers,Item_20_BUT,33.5,4,134.0,Credit Card,Online,2023-11-21,1,2,21,Tuesday,47,November,2023,21,133.0,2022-01-08,Returning
TXN_9908330,CUST_19,Food,Item_18_FOOD,30.5,4,122.0,Credit Card,Online,2022-09-29,1,4,52,Thursday,39,September,2022,29,121.0,2022-01-01,Returning
TXN_2016332,CUST_17,Patisserie,Item_1_PAT,5.0,6,30.0,Digital Wallet,Online,2022-12-17,1,0,53,Saturday,50,December,2022,17,29.0,2022-01-01,Returning
TXN_7363165,CUST_25,Beverages,Item_4_BEV,9.5,7,66.5,Digital Wallet,In-Store,2023-03-25,1,3,54,Saturday,12,March,2023,25,65.5,2022-01-03,Returning
TXN_1260450,CUST_25,Furniture,Item_22_FUR,36.5,10,365.0,Digital Wallet,In-Store,2023-12-24,1,5,55,Sunday,51,December,2023,24,364.0,2022-01-03,Returning
TXN_6315447,CUST_21,Patisserie,Item_7_PAT,14.0,9,126.0,Digital Wallet,In-Store,2025-01-12,0,0,56,Sunday,2,January,2025,12,126.0,2022-01-05,Returning
TXN_5973228,CUST_12,Beverages,Item_7_BEV,14.0,6,84.0,Digital Wallet,Online,2023-12-25,1,3,17,Monday,52,December,2023,25,83.0,2022-01-01,Returning
TXN_2780662,CUST_02,Milk Products,Item_19_MILK,32.0,10,320.0,Digital Wallet,In-Store,2023-01-19,1,1,42,Thursday,3,January,2023,19,319.0,2022-01-17,Returning
TXN_1142481,CUST_02,Beverages,Item_22_BEV,36.5,6,219.0,Cash,In-Store,2023-02-07,1,3,32,Tuesday,6,February,2023,7,218.0,2022-01-17,Returning
TXN_3933685,CUST_09,Computers And Electric Accessories,Item_20_CEA,33.5,10,335.0,Credit Card,Online,2022-04-15,1,7,57,Friday,15,April,2022,15,334.0,2022-01-03,Returning
TXN_8955685,CUST_24,Food,Item_20_FOOD,33.5,2,67.0,Digital Wallet,Online,2023-04-24,1,4,58,Monday,17,April,2023,24,66.0,2022-01-01,Returning
TXN_1061030,CUST_20,Computers And Electric Accessories,Item_22_CEA,36.5,4,146.0,Digital Wallet,Online,2024-07-14,1,7,48,Sunday,28,July,2024,14,145.0,2022-01-03,Returning
TXN_7821493,CUST_07,Patisserie,Item_17_PAT,29.0,10,290.0,Credit Card,In-Store,2024-12-17,1,0,15,Tuesday,51,December,2024,17,289.0,2022-01-04,Returning
TXN_8114453,CUST_10,Electric Household Essentials,Item_21_EHE,35.0,2,70.0,Digital Wallet,In-Store,2023-05-09,0,6,26,Tuesday,19,May,2023,9,70.0,2022-01-02,Returning
TXN_8024803,CUST_09,Furniture,Item_11_FUR,20.0,8,160.0,Digital Wallet,In-Store,2024-08-22,0,5,59,Thursday,34,August,2024,22,160.0,2022-01-03,Returning
TXN_4532214,CUST_25,Patisserie,Item_12_PAT,15.5,5,77.5,Credit Card,In-Store,2024-03-25,0,0,5,Monday,13,March,2024,25,77.5,2022-01-03,Returning
TXN_5062634,CUST_04,Patisserie,Item_25_PAT,41.0,2,82.0,Credit Card,Online,2023-07-06,1,0,60,Thursday,27,July,2023,6,81.0,2022-01-02,Returning
TXN_8244728,CUST_08,Food,Item_7_FOOD,14.0,1,14.0,Credit Card,In-Store,2024-04-27,1,4,61,Saturday,17,April,2024,27,13.0,2022-01-03,Returning
TXN_3858145,CUST_17,Furniture,Item_21_FUR,35.0,3,105.0,Digital Wallet,Online,2023-04-01,1,5,62,Saturday,13,April,2023,1,104.0,2022-01-01,Returning
TXN_2646301,CUST_18,Furniture,Item_24_FUR,39.5,9,355.5,Credit Card,In-Store,2022-12-07,0,5,63,Wednesday,49,December,2022,7,355.5,2022-01-02,Returning
TXN_2414530,CUST_24,Milk Products,Item_8_MILK,15.5,8,124.0,Cash,Online,2024-06-20,1,1,64,Thursday,25,June,2024,20,123.0,2022-01-01,Returning
TXN_8322008,CUST_22,Food,Item_4_FOOD,9.5,3,28.5,Cash,In-Store,2024-08-20,0,4,65,Tuesday,34,August,2024,20,28.5,2022-01-01,Returning
TXN_3035546,CUST_19,Beverages,Item_14_BEV,24.5,2,49.0,Credit Card,In-Store,2023-07-12,1,3,66,Wednesday,28,July,2023,12,48.0,2022-01-01,Returning
TXN_7296720,CUST_18,Patisserie,Item_4_PAT,9.5,5,47.5,Cash,Online,2024-09-12,1,0,67,Thursday,37,September,2024,12,46.5,2022-01-02,Returning
TXN_8414071,CUST_20,Patisserie,Item_12_PAT,21.5,9,193.5,Cash,In-Store,2023-05-02,1,0,5,Tuesday,18,May,2023,2,192.5,2022-01-03,Returning
TXN_5705131,CUST_19,Milk Products,Item_4_MILK,9.5,4,38.0,Digital Wallet,Online,2024-03-27,1,1,68,Wednesday,13,March,2024,27,37.0,2022-01-01,Returning
TXN_5938028,CUST_18,Computers And Electric Accessories,Item_7_CEA,14.0,1,14.0,Digital Wallet,Online,2023-02-20,1,7,69,Monday,8,February,2023,20,13.0,2022-01-02,Returning
TXN_1958345,CUST_08,Electric Household Essentials,Item_4_EHE,9.5,8,76.0,Cash,In-Store,2024-06-28,1,6,18,Friday,26,June,2024,28,75.0,2022-01-03,Returning
TXN_1528585,CUST_15,Electric Household Essentials,Item_6_EHE,12.5,1,12.5,Credit Card,In-Store,2024-09-17,1,6,70,Tuesday,38,September,2024,17,11.5,2022-01-01,Returning
TXN_9619859,CUST_01,Butchers,Item_21_BUT,35.0,4,140.0,Cash,In-Store,2024-04-05,0,2,71,Friday,14,April,2024,5,140.0,2022-01-01,Returning
TXN_6158929,CUST_21,Food,Item_11_FOOD,20.0,6,120.0,Cash,Online,2022-01-29,1,4,24,Saturday,4,January,2022,29,119.0,2022-01-05,Returning
TXN_7209607,CUST_25,Food,Item_18_FOOD,30.5,6,183.0,Credit Card,In-Store,2023-08-25,1,4,52,Friday,34,August,2023,25,182.0,2022-01-03,Returning
TXN_5328604,CUST_07,Food,Item_20_FOOD,33.5,10,335.0,Cash,Online,2024-07-08,0,4,58,Monday,28,July,2024,8,335.0,2022-01-04,Returning
TXN_4324641,CUST_01,Patisserie,Item_16_PAT,27.5,6,165.0,Cash,In-Store,2023-11-07,0,0,72,Tuesday,45,November,2023,7,165.0,2022-01-01,Returning
TXN_9464391,CUST_04,Food,Item_18_FOOD,30.5,10,305.0,Cash,Online,2023-11-17,1,4,52,Friday,46,November,2023,17,304.0,2022-01-02,Returning
TXN_2940500,CUST_06,Computers And Electric Accessories,Item_25_CEA,41.0,1,41.0,Cash,In-Store,2024-11-05,0,7,73,Tuesday,45,November,2024,5,41.0,2022-01-01,Returning
TXN_1945960,CUST_09,Butchers,Item_8_BUT,15.5,10,155.0,Digital Wallet,In-Store,2023-04-06,0,2,74,Thursday,14,April,2023,6,155.0,2022-01-03,Returning
TXN_8219228,CUST_17,Computers And Electric Accessories,Item_10_CEA,18.5,5,92.5,Cash,Online,2022-05-27,0,7,75,Friday,21,May,2022,27,92.5,2022-01-01,Returning
TXN_5471094,CUST_14,Butchers,Item_2_BUT,6.5,3,19.5,Digital Wallet,In-Store,2022-08-24,0,2,50,Wednesday,34,August,2022,24,19.5,2022-01-07,Returning
TXN_9255329,CUST_01,Furniture,Item_25_FUR,41.0,7,287.0,Digital Wallet,In-Store,2022-03-02,0,5,7,Wednesday,9,March,2022,2,287.0,2022-01-01,Returning
TXN_9279462,CUST_25,Furniture,Item_5_FUR,11.0,3,33.0,Credit Card,In-Store,2022-02-05,0,5,76,Saturday,5,February,2022,5,33.0,2022-01-03,Returning
TXN_7956502,CUST_06,Butchers,Item_8_BUT,15.5,7,108.5,Credit Card,In-Store,2024-04-30,1,2,74,Tuesday,18,April,2024,30,107.5,2022-01-01,Returning
TXN_1352831,CUST_04,Food,Item_22_FOOD,36.5,3,109.5,Credit Card,Online,2023-10-31,1,4,49,Tuesday,44,October,2023,31,108.5,2022-01-02,Returning
TXN_4372655,CUST_08,Food,Item_9_FOOD,17.0,7,119.0,Cash,In-Store,2024-11-03,0,4,77,Sunday,44,November,2024,3,119.0,2022-01-03,Returning
TXN_5419965,CUST_23,Computers And Electric Accessories,Item_19_CEA,20.0,5,100.0,Digital Wallet,Online,2024-01-16,0,7,78,Tuesday,3,January,2024,16,100.0,2022-01-02,Returning
TXN_7655704,CUST_11,Computers And Electric Accessories,Item_21_CEA,35.0,8,280.0,Digital Wallet,Online,2022-08-08,1,7,79,Monday,32,August,2022,8,279.0,2022-01-01,Returning
TXN_8210621,CUST_03,Beverages,Item_2_BEV,39.5,5,197.5,Digital Wallet,Online,2024-01-03,0,3,14,Wednesday,1,January,2024,3,197.5,2022-01-08,Returning
TXN_6908058,CUST_25,Computers And Electric Accessories,Item_8_CEA,15.5,10,155.0,Cash,In-Store,2023-07-22,0,7,80,Saturday,29,July,2023,22,155.0,2022-01-03,Returning
TXN_9204828,CUST_07,Computers And Electric Accessories,Item_25_CEA,41.0,7,287.0,Cash,Online,2022-03-05,1,7,73,Saturday,9,March,2022,5,286.0,2022-01-04,Returning
TXN_3208232,CUST_25,Electric Household Essentials,Item_8_EHE,15.5,4,62.0,Digital Wallet,In-Store,2024-01-13,0,6,81,Saturday,2,January,2024,13,62.0,2022-01-03,Returning
TXN_8586300,CUST_11,Computers And Electric Accessories,Item_19_CEA,27.5,5,137.5,Credit Card,Online,2022-02-08,0,7,78,Tuesday,6,February,2022,8,137.5,2022-01-01,Returning
TXN_2212643,CUST_09,Food,Item_3_FOOD,8.0,4,32.0,Credit Card,In-Store,2022-12-29,0,4,36,Thursday,52,December,2022,29,32.0,2022-01-03,Returning
TXN_8215469,CUST_17,Milk Products,Item_23_MILK,38.0,10,380.0,Digital Wallet,In-Store,2024-03-16,1,1,82,Saturday,11,March,2024,16,379.0,2022-01-01,Returning
TXN_3403695,CUST_25,Beverages,Item_23_BEV,38.0,8,304.0,Cash,Online,2024-09-27,1,3,83,Friday,39,September,2024,27,303.0,2022-01-03,Returning
TXN_2878134,CUST_18,Butchers,Item_8_BUT,15.5,9,139.5,Credit Card,In-Store,2024-05-10,1,2,74,Friday,19,May,2024,10,138.5,2022-01-02,Returning
TXN_3123571,CUST_15,Furniture,Item_23_FUR,38.0,3,114.0,Digital Wallet,Online,2022-08-07,1,5,43,Sunday,31,August,2022,7,113.0,2022-01-01,Returning
TXN_9940030,CUST_25,Beverages,Item_19_BEV,32.0,6,192.0,Credit Card,In-Store,2022-01-19,1,3,84,Wednesday,3,January,2022,19,191.0,2022-01-03,Returning
TXN_6195024,CUST_13,Beverages,Item_20_BEV,33.5,5,167.5,Cash,Online,2024-08-09,0,3,85,Friday,32,August,2024,9,167.5,2022-01-04,Returning
TXN_5243520,CUST_13,Patisserie,Item_10_PAT,18.5,5,92.5,Cash,In-Store,2024-05-16,0,0,0,Thursday,20,May,2024,16,92.5,2022-01-04,Returning
TXN_4608122,CUST_21,Butchers,Item_20_BUT,23.0,10,230.0,Digital Wallet,Online,2022-10-01,0,2,21,Saturday,39,October,2022,1,230.0,2022-01-05,Returning
TXN_6923419,CUST_17,Furniture,Item_5_FUR,11.0,8,88.0,Digital Wallet,Online,2022-06-28,0,5,76,Tuesday,26,June,2022,28,88.0,2022-01-01,Returning
TXN_1112365,CUST_19,Food,Item_24_FOOD,39.5,10,395.0,Cash,Online,2023-09-24,1,4,86,Sunday,38,September,2023,24,394.0,2022-01-01,Returning
TXN_6989569,CUST_11,Milk Products,Item_21_MILK,35.0,2,70.0,Credit Card,In-Store,2022-01-17,0,1,87,Monday,3,January,2022,17,70.0,2022-01-01,Returning
TXN_5647023,CUST_12,Furniture,Item_24_FUR,39.5,4,158.0,Digital Wallet,In-Store,2022-04-14,1,5,63,Thursday,15,April,2022,14,157.0,2022-01-01,Returning
TXN_8049831,CUST_18,Beverages,Item_6_BEV,12.5,2,25.0,Cash,In-Store,2023-01-05,0,3,88,Thursday,1,January,2023,5,25.0,2022-01-02,Returning
TXN_2953434,CUST_25,Furniture,Item_25_FUR,41.0,10,410.0,Credit Card,In-Store,2023-08-10,1,5,7,Thursday,32,August,2023,10,409.0,2022-01-03,Returning
TXN_3831408,CUST_18,Milk Products,Item_1_MILK,5.0,10,50.0,Digital Wallet,Online,2022-02-11,1,1,89,Friday,6,February,2022,11,49.0,2022-01-02,Returning
TXN_1249742,CUST_05,Milk Products,Item_24_MILK,39.5,10,395.0,Digital Wallet,Online,2024-03-21,1,1,90,Thursday,12,March,2024,21,394.0,2022-01-03,Returning
TXN_4633046,CUST_13,Computers And Electric Accessories,Item_2_CEA,6.5,5,32.5,Digital Wallet,Online,2023-08-25,1,7,91,Friday,34,August,2023,25,31.5,2022-01-04,Returning
TXN_3519817,CUST_22,Butchers,Item_18_BUT,30.5,4,122.0,Digital Wallet,Online,2022-06-14,1,2,92,Tuesday,24,June,2022,14,121.0,2022-01-01,Returning
TXN_1154680,CUST_25,Furniture,Item_25_FUR,35.0,6,210.0,Credit Card,Online,2022-12-18,0,5,7,Sunday,50,December,2022,18,210.0,2022-01-03,Returning
TXN_9177662,CUST_15,Furniture,Item_25_FUR,24.5,5,122.5,Cash,In-Store,2024-09-30,1,5,7,Monday,40,September,2024,30,121.5,2022-01-01,Returning
TXN_4801202,CUST_16,Furniture,Item_1_FUR,5.0,3,15.0,Digital Wallet,Online,2024-05-31,0,5,93,Friday,22,May,2024,31,15.0,2022-01-01,Returning
TXN_6149882,CUST_09,Beverages,Item_20_BEV,33.5,1,33.5,Credit Card,Online,2023-01-22,1,3,85,Sunday,3,January,2023,22,32.5,2022-01-03,Returning
TXN_8809000,CUST_23,Milk Products,Item_3_MILK,8.0,3,24.0,Cash,In-Store,2023-01-10,1,1,94,Tuesday,2,January,2023,10,23.0,2022-01-02,Returning
TXN_5008001,CUST_03,Electric Household Essentials,Item_10_EHE,18.5,6,111.0,Credit Card,Online,2024-11-04,1,6,33,Monday,45,November,2024,4,110.0,2022-01-08,Returning
TXN_5111184,CUST_19,Milk Products,Item_11_MILK,20.0,6,120.0,Credit Card,Online,2024-07-18,1,1,95,Thursday,29,July,2024,18,119.0,2022-01-01,Returning
TXN_1499774,CUST_07,Butchers,Item_3_BUT,8.0,5,40.0,Credit Card,In-Store,2022-12-15,1,2,10,Thursday,50,December,2022,15,39.0,2022-01-04,Returning
TXN_2565828,CUST_21,Food,Item_24_FOOD,39.5,10,395.0,Credit Card,Online,2022-02-18,0,4,86,Friday,7,February,2022,18,395.0,2022-01-05,Returning
TXN_6312937,CUST_14,Computers And Electric Accessories,Item_13_CEA,23.0,2,46.0,Digital Wallet,In-Store,2024-02-09,0,7,96,Friday,6,February,2024,9,46.0,2022-01-07,Returning
TXN_8775503,CUST_08,Computers And Electric Accessories,Item_6_CEA,12.5,2,25.0,Digital Wallet,In-Store,2024-10-11,0,7,97,Friday,41,October,2024,11,25.0,2022-01-03,Returning
TXN_3541663,CUST_25,Furniture,Item_2_FUR,6.5,5,32.5,Digital Wallet,In-Store,2023-07-19,1,5,98,Wednesday,29,July,2023,19,31.5,2022-01-03,Returning
